2019-05-02 06:01:30,255 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Restarting with stat 
2019-05-02 06:01:30,715 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | WARNING |  * Debugger is active! 
2019-05-02 06:01:30,737 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Debugger PIN: 849-850-947 
2019-05-02 06:01:31,613 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:01:31] "GET /status/a HTTP/1.1" 404 - 
2019-05-02 06:01:49,219 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:01:49] "GET /status/ HTTP/1.1" 400 - 
2019-05-02 06:02:04,644 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:02:04] "GET /change/6a HTTP/1.1" 404 - 
2019-05-02 06:02:14,565 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:02:14] "GET /change/a HTTP/1.1" 404 - 
2019-05-02 06:02:23,714 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:02:23] "GET /change/3 HTTP/1.1" 200 - 
2019-05-02 06:03:10,134 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:03:10] "GET /change/0 HTTP/1.1" 500 - 
2019-05-02 06:03:18,924 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:03:18] "GET /change/01 HTTP/1.1" 200 - 
2019-05-02 06:03:23,241 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:03:23] "GET /change/1 HTTP/1.1" 200 - 
2019-05-02 06:03:29,185 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:03:29] "GET /status/ HTTP/1.1" 400 - 
2019-05-02 06:03:34,964 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:03:34] "POST /initialise/ HTTP/1.1" 200 - 
2019-05-02 06:03:40,868 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:03:40] "GET /change/01 HTTP/1.1" 200 - 
2019-05-02 06:03:49,905 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:03:49] "GET /change/0 HTTP/1.1" 500 - 
2019-05-02 06:05:15,969 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Detected change in '/Users/mcossu/Projects/test/vending_machine/app/setup/views.py', reloading 
2019-05-02 06:05:15,999 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Restarting with stat 
2019-05-02 06:05:16,836 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | WARNING |  * Debugger is active! 
2019-05-02 06:05:16,845 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Debugger PIN: 849-850-947 
2019-05-02 06:05:19,621 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:05:19] "GET /change/0 HTTP/1.1" 400 - 
2019-05-02 06:05:40,619 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:05:40] "POST /initialise/ HTTP/1.1" 200 - 
2019-05-02 06:05:49,233 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:05:49] "POST /initiise/ HTTP/1.1" 404 - 
2019-05-02 06:06:13,146 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:06:13] "POST /initialise/ HTTP/1.1" 200 - 
2019-05-02 06:06:41,061 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:06:41] "GET /status/ HTTP/1.1" 200 - 
2019-05-02 06:07:00,309 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:07:00] "POST /initialise/ HTTP/1.1" 200 - 
2019-05-02 06:07:07,548 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:07:07] "POST /initialise/ HTTP/1.1" 200 - 
2019-05-02 06:07:19,686 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:07:19] "POST /initialise/ HTTP/1.1" 200 - 
2019-05-02 06:07:52,499 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:07:52] "POST /payment/ HTTP/1.1" 200 - 
2019-05-02 06:11:41,477 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Detected change in '/Users/mcossu/Projects/test/vending_machine/app/setup/views.py', reloading 
2019-05-02 06:11:41,504 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Restarting with stat 
2019-05-02 06:11:41,866 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | WARNING |  * Debugger is active! 
2019-05-02 06:11:41,874 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Debugger PIN: 849-850-947 
2019-05-02 06:14:32,165 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:14:32] "GET /change/0 HTTP/1.1" 400 - 
2019-05-02 06:14:37,369 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:14:37] "GET /change/55 HTTP/1.1" 200 - 
2019-05-02 06:15:35,184 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Detected change in '/Users/mcossu/Projects/test/vending_machine/app/setup/views.py', reloading 
2019-05-02 06:15:35,211 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Restarting with stat 
2019-05-02 06:15:35,625 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | WARNING |  * Debugger is active! 
2019-05-02 06:15:35,631 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Debugger PIN: 849-850-947 
2019-05-02 06:15:39,446 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:15:39] "GET /status/ HTTP/1.1" 400 - 
2019-05-02 06:15:43,451 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:15:43] "POST /payment/ HTTP/1.1" 500 - 
2019-05-02 06:15:50,406 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:15:50] "GET /change/0 HTTP/1.1" 400 - 
2019-05-02 06:15:56,130 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:15:56] "POST /initialise/ HTTP/1.1" 200 - 
2019-05-02 06:16:05,817 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:16:05] "GET /change/55 HTTP/1.1" 200 - 
2019-05-02 06:16:10,413 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:16:10] "GET /change/55 HTTP/1.1" 500 - 
2019-05-02 06:16:54,787 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Detected change in '/Users/mcossu/Projects/test/vending_machine/app/setup/views.py', reloading 
2019-05-02 06:16:54,815 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Restarting with stat 
2019-05-02 06:16:54,976 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | WARNING |  * Debugger is active! 
2019-05-02 06:16:54,981 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Debugger PIN: 849-850-947 
2019-05-02 06:16:55,499 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:16:55] "GET /change/55 HTTP/1.1" 200 - 
2019-05-02 06:17:43,157 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:17:43] "GET /change/55 HTTP/1.1" 200 - 
2019-05-02 06:17:52,788 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:17:52] "GET /status/ HTTP/1.1" 400 - 
2019-05-02 06:18:00,364 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:18:00] "POST /initialise/ HTTP/1.1" 200 - 
2019-05-02 06:18:06,307 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:18:06] "GET /change/55 HTTP/1.1" 200 - 
2019-05-02 06:18:13,150 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:18:13] "GET /status/ HTTP/1.1" 200 - 
2019-05-02 06:18:24,802 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:18:24] "GET /change/55 HTTP/1.1" 200 - 
2019-05-02 06:18:28,725 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:18:28] "GET /status/ HTTP/1.1" 200 - 
2019-05-02 06:22:53,002 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Detected change in '/Users/mcossu/Projects/test/vending_machine/app/setup/views.py', reloading 
2019-05-02 06:22:53,032 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Restarting with stat 
2019-05-02 06:22:53,225 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | WARNING |  * Debugger is active! 
2019-05-02 06:22:53,231 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Debugger PIN: 849-850-947 
2019-05-02 06:22:58,258 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:22:58] "GET /change/55 HTTP/1.1" 500 - 
2019-05-02 06:23:17,603 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Detected change in '/Users/mcossu/Projects/test/vending_machine/app/setup/views.py', reloading 
2019-05-02 06:23:17,632 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Restarting with stat 
2019-05-02 06:23:17,798 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | WARNING |  * Debugger is active! 
2019-05-02 06:23:17,803 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Debugger PIN: 849-850-947 
2019-05-02 06:23:19,006 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:23:19] "GET /change/55 HTTP/1.1" 200 - 
2019-05-02 06:23:49,768 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 06:23:49] "GET /change/55 HTTP/1.1" 200 - 
2019-05-02 06:24:34,939 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Detected change in '/Users/mcossu/Projects/test/vending_machine/app/setup/views.py', reloading 
2019-05-02 06:24:34,967 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Restarting with stat 
2019-05-02 06:24:35,225 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | WARNING |  * Debugger is active! 
2019-05-02 06:24:35,231 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Debugger PIN: 849-850-947 
